QSTESTCD,QSSTRESC,QSSTRESN,QSDRVFL
PCS6,To a moderate degree,2,
PCS6,To a great degree,3,
PCS6,All the time,4,
PCS10,Not at all,0,
PCS10,To a slight degree,1,
PCS10,To a moderate degree,2,
PCS10,To a great degree,3,
PCS10,All the time,4,
PCS11,Not at all,0,
PCS11,To a slight degree,1,
PCS11,To a moderate degree,2,
PCS11,To a great degree,3,
PCS11,All the time,4,
PCS13,Not at all,0,
PCS13,To a slight degree,1,
PCS13,To a moderate degree,2,
PCS13,To a great degree,3,
PCS13,All the time,4,
PCSRAW,,,Y
PGIC1,Very much improved,0,
PGIC1,Much improved,1,
PGIC1,Minimally improved,2,
PGIC1,No change,3,
PGIC1,Minimally worse,4,
PGIC1,Much worse,5,
PGIC1,Very much worse,6,
TAPS1Q1,Daily or almost daily,0,
TAPS1Q1,Weekly,1,
TAPS1Q1,Monthly,2,
TAPS1Q1,Less than monthly,3,
TAPS1Q1,Never,4,
TAPS1Q2,Daily or almost daily,0,
TAPS1Q2,Weekly,1,
TAPS1Q2,Monthly,2,
TAPS1Q2,Less than monthly,3,
TAPS1Q2,Never,4,
TAPS1Q3,Daily or almost daily,0,
TAPS1Q3,Weekly,1,
TAPS1Q3,Monthly,2,
TAPS1Q3,Less than monthly,3,
TAPS1Q3,Never,4,
TAPS1Q4,Daily or almost daily,0,
TAPS1Q4,Weekly,1,
TAPS1Q4,Monthly,2,
TAPS1Q4,Less than monthly,3,
TAPS1Q4,Never,4,
TAPS1Q5,Daily or almost daily,0,
TAPS1Q5,Weekly,1,
TAPS1Q5,Monthly,2,
TAPS1Q5,Less than monthly,3,
TAPS1Q5,Never,4,
PHQ01,Not at all,0,
PHQ01,Several days,1,
PHQ01,More than half the days,2,
PHQ01,Nearly every day,3,
PHQ02,Not at all,0,
PHQ02,Several days,1,
PHQ02,More than half the days,2,
PHQ02,Nearly every day,3,
PHQ2RAW,,,Y
PSQI4,,,
LBPDF01,<3 months,1,
LBPDF01,3-6 months,2,
LBPDF01,6 months-1 year,3,
LBPDF01,1 to 5 years,4,
LBPDF01,More than 5 years,5,
LBPDF02,Every day or nearly every day,1,
LBPDF02,At least half the days,2,
LBPDF02,Less than half the days,3,
RADLBP1,Yes,1,
RADLBP1,No,0,
RADLBP1,Not sure,99,
RADLBP2,Yes,1,
RADLBP2,No,0,
RADLBP2,Not sure,99,
PNAREA1,Yes,1,
PNAREA1,No,0,
PNAREA2,Yes,1,
PNAREA2,No,0,
PNAREA3,Yes,1,
PNAREA3,No,0,
PNAREA4,Yes,1,
PNAREA4,No,0,
PNAREA5,Yes,1,
PNAREA5,No,0,
PNAREA6,Yes,1,
PNAREA6,No,0,
PNAREA7,Yes,1,
PNAREA7,No,0,
WDSPPNUM,,,Y
PSOM1,Not bothered at all,1,
PSOM1,Bothered a little,2,
PSOM1,Bothered a lot,3,
PSOM2,Not bothered at all,1,
PSOM2,Bothered a little,2,
PSOM2,Bothered a lot,3,
PEG1,No pain,0,
PEG1,1,1,
PEG1,2,2,
PEG1,3,3,
PEG1,4,4,
PEG1,5,5,
PEG1,6,6,
PEG1,7,7,
PEG1,8,8,
PEG1,9,9,
PEG1,Worst pain imaginable,10,
PEG2,No pain,0,
PEG2,1,1,
PEG2,2,2,
PEG2,3,3,
PEG2,4,4,
PEG2,5,5,
PEG2,6,6,
PEG2,7,7,
PEG2,8,8,
PEG2,9,9,
PEG2,Completely interferes,10,
PEG3,No pain,0,
PEG3,1,1,
PEG3,2,2,
PEG3,3,3,
PEG3,4,4,
PEG3,5,5,
PEG3,6,6,
PEG3,7,7,
PEG3,8,8,
PEG3,9,9,
PEG3,Completely interferes,10,
PEGSCORE,,,Y
LBPPINT1,No pain,0,
LBPPINT1,1,1,
LBPPINT1,2,2,
LBPPINT1,3,3,
LBPPINT1,4,4,
LBPPINT1,5,5,
LBPPINT1,6,6,
LBPPINT1,7,7,
LBPPINT1,8,8,
LBPPINT1,9,9,
LBPPINT1,Worst pain imaginable,10,
OPIOID01,Yes,1,
OPIOID01,No,0,
OPIOID01,Not sure,99,
